id,name,content,qty,created_at,updated_at,price_net_buy,price_net_sell,product_index,buy_number,length,gramature,structure,color,product_kind
876,"Złocisty jasny brąz 39 cm, 72 g","11111163, Złocisty jasny brąz 39 cm, 72 g",1,,,,800.000000,11111163,,,,,,włosy
877,"Złocisty jasny brąz 42 cm, 75 g","11111166, Złocisty jasny brąz 42 cm, 75 g",0,,,,830.000000,11111166,,,,,,włosy
878,"Średni jasny brąz 42 cm, 60 g","11111168, Średni jasny brąz 42 cm, 60 g",0,,,,600.000000,11111168,,,,,,włosy
879,"Średni brąz 40 cm, 72 g","11111169, Średni brąz 40 cm, 72 g",0,,,,720.000000,11111169,,,,,,włosy
880,"Jasny brąz 40 cm, 48 g","11111170, Jasny brąz 40 cm, 48 g",0,,,,480.000000,11111170,,,,,,włosy
881,"Złocisty jasny brąz 35 cm, 85 g","11111173, Złocisty jasny brąz 35 cm, 85 g",1,,,,680.000000,11111173,,,,,,włosy
882,"Średni brąz 35 cm, 19 g","11111174, Średni brąz 35 cm, 19 g",1,,,,110.000000,11111174,,,,,,włosy
883,"Złocisty jasny brąz 35 cm, 20 g","11111175, Złocisty jasny brąz 35 cm, 20 g",1,,,,160.000000,11111175,,,,,,włosy
884,"Średni brąz 45 cm, 34 g","11111179, Średni brąz 45 cm, 34 g",1,,,,340.000000,11111179,,,,,,włosy
885,"Jasny brąz 40 cm, 68 g","1111118, Jasny brąz 40 cm, 68 g",1,,,,750.000000,1111118,,,,,,włosy
886,"Rudy 39 cm, 125 g","11111180, Rudy 39 cm, 125 g",1,,,,1250.000000,11111180,,,,,,włosy
887,"Włosy dziewicze średni jasny brąz dł. 45 cm, 106 gram","11111183, Włosy dziewicze średni jasny brąz dł. 45 cm, 106 gram",0,,,,1170.000000,11111183,,,,,,włosy
888,"Średni brąz 34 cm, 80 g","11111185, Średni brąz 34 cm, 80 g",1,,,,640.000000,11111185,,,,,,włosy
889,"Jasny brąz 36 cm, 38 g","11111187, Jasny brąz 36 cm, 38 g",1,,,,270.000000,11111187,,,,,,włosy
890,"Jasny brąz 40 cm, 42 g","11111188, Jasny brąz 40 cm, 42 g",1,,,,380.000000,11111188,,,,,,włosy
891,"Jasny brąz 40 cm, 105 g","11111190, Jasny brąz 40 cm, 105 g",1,,,,1050.000000,11111190,,,,,,włosy
892,"Średni jasny brąz 40 cm, 25 g","11111192, Średni jasny brąz 40 cm, 25 g",1,,,,230.000000,11111192,,,,,,włosy
893,"Średni brąz 36 cm, 73 g","11111194, Średni brąz 36 cm, 73 g",1,,,,520.000000,11111194,,,,,,włosy
894,"Jasny brąz 41 cm, 55 g","11111195, Jasny brąz 41 cm, 55 g",1,,,,610.000000,11111195,,,,,,włosy
895,"Średni brąz 40 cm, 25 g","11111197, Średni brąz 40 cm, 25 g",1,,,,225.000000,11111197,,,,,,włosy
896,"Średni brąz 38 cm, 55 g","11111199, Średni brąz 38 cm, 55 g",1,,,,500.000000,11111199,,,,,,włosy
897,"Złocisty jasny brąz 37 cm, 103 g","1111122, Złocisty jasny brąz 37 cm, 103 g",1,,,,830.000000,1111122,,,,,,włosy
898,"Złocisty jasny brąz 38 cm, 161 g","1111124, Złocisty jasny brąz 38 cm, 161 g",1,,,,1600.000000,1111124,,,,,,włosy
899,"Jasny brąz 34 cm, 64 g","1111126, Jasny brąz 34 cm, 64 g",1,,,,380.000000,1111126,,,,,,włosy
900,"Jasny brąz 45 cm, 91 g","1111130, Jasny brąz 45 cm, 91 g",0,,,,910.000000,1111130,,,,,,włosy
901,"Czekoladowy brąz 31 cm, 110 g","1111132, Czekoladowy brąz 31 cm, 110 g",1,,,,660.000000,1111132,,,,,,włosy
902,"Jasny brąz 40 cm, 35 g","1111133, Jasny brąz 40 cm, 35 g",0,,,,390.000000,1111133,,,,,,włosy
903,"Jasny brąz 35 cm, 110 g","1111144, Jasny brąz 35 cm, 110 g",1,,,,880.000000,1111144,,,,,,włosy
904,"Złocisty jasny brąz 34 cm, 49 g","1111146, Złocisty jasny brąz 34 cm, 49 g",0,,,,350.000000,1111146,,,,,,włosy
905,"Ciemny średni brąz 38 cm, 53 g","1111147, Ciemny średni brąz 38 cm, 53 g",1,,,,480.000000,1111147,,,,,,włosy
906,"Jasny brąz 36 cm, 60 g","1111149, Jasny brąz 36 cm, 60 g",1,,,,420.000000,1111149,,,,,,włosy
907,"Średni brąz 38 cm, 46 g","1111151, Średni brąz 38 cm, 46 g",1,,,,420.000000,1111151,,,,,,włosy
908,"Średni brąz 42 cm, 90 g","1111154, Średni brąz 42 cm, 90 g",1,,,,810.000000,1111154,,,,,,włosy
